Version,Name,Size,NR,NAuth,LOC added,MAX LOC added,AVG LOC added,Churn,MAX Churn,AVG Churn,ChgSetSize,Age,Buggyness
0.9.0.1,src/jvm/main/storm/starter/tools/Rankable.java,9,1,1,9,9,9.000,9,9,9.000,41,61,N
0.9.0.1,src/jvm/main/storm/starter/tools/RankableObjectWithFields.java,117,1,1,117,117,117.000,117,117,117.000,41,61,N
0.9.0.1,src/jvm/main/storm/starter/tools/Rankings.java,93,1,1,93,93,93.000,93,93,93.000,41,61,N
0.9.0.1,src/jvm/main/storm/starter/tools/SlidingWindowCounter.java,102,1,1,102,102,102.000,102,102,102.000,41,61,N
0.9.0.1,src/jvm/main/storm/starter/tools/SlotBasedCounter.java,98,1,1,98,98,98.000,98,98,98.000,41,61,N
0.9.0.1,src/jvm/main/storm/starter/util/StormRunner.java,22,1,1,22,22,22.000,22,22,22.000,41,61,N
0.9.0.1,src/jvm/main/storm/starter/util/TupleHelpers.java,16,1,1,16,16,16.000,16,16,16.000,41,61,N
0.9.0.1,src/jvm/storm/kafka/Broker.java,7,2,1,23,12,11.500,7,7,3.500,7,6,N
0.9.0.1,src/jvm/storm/kafka/BrokerHosts.java,11,1,1,11,11,11.000,11,11,11.000,24,38,N
0.9.0.1,src/jvm/storm/kafka/DynamicBrokersReader.java,318,10,3,476,95,47.600,318,95,31.800,42,68,N
0.9.0.1,src/jvm/storm/kafka/DynamicPartitionConnections.java,193,13,4,233,65,17.923,193,65,14.846,43,83,N
0.9.0.1,src/jvm/storm/kafka/FailedFetchException.java,12,4,2,20,7,5.000,12,7,3.000,14,103,N
0.9.0.1,src/jvm/storm/kafka/GlobalPartitionId.java,63,7,3,112,35,16.000,63,35,9.000,39,83,N
0.9.0.1,src/jvm/storm/kafka/HostPort.java,109,8,3,140,35,17.500,109,35,13.625,42,88,N
0.9.0.1,src/jvm/storm/kafka/KafkaConfig.java,174,18,5,285,85,15.833,174,85,9.667,47,103,N
0.9.0.1,src/jvm/storm/kafka/KafkaError.java,30,2,1,32,29,16.000,30,29,15.000,11,3,N
0.9.0.1,src/jvm/storm/kafka/KafkaPartitionConnections.java,68,6,2,80,30,13.333,68,30,11.333,11,103,N
0.9.0.1,src/jvm/storm/kafka/KafkaSpout.java,232,30,6,830,226,27.667,232,226,7.733,49,93,N
