Version,Name,Size,NR,NAuth,LOC added,MAX LOC added,AVG LOC added,Churn,MAX Churn,AVG Churn,ChgSetSize,Age,Buggyness
0.9.4,storm-core/src/jvm/backtype/storm/generated/LSSupervisorAssignments.java,2826,7,4,2851,471,407.286,2826,471,403.714,149,0,Y
0.9.4,storm-core/src/jvm/backtype/storm/generated/LSSupervisorId.java,2436,6,3,2436,406,406.000,2436,406,406.000,133,0,Y
0.9.4,storm-core/src/jvm/backtype/storm/generated/LSWorkerHeartbeat.java,4530,7,4,4549,755,649.857,4530,755,647.143,149,0,Y
0.9.4,storm-core/src/jvm/backtype/storm/generated/LocalAssignment.java,3366,7,4,3385,561,483.571,3366,561,480.857,149,0,Y
0.9.4,storm-core/src/jvm/backtype/storm/generated/LocalStateData.java,2826,7,4,2851,471,407.286,2826,471,403.714,149,0,Y
0.9.4,storm-core/src/jvm/backtype/storm/generated/Nimbus.java,69121,9,6,2781,2713,309.000,2772,2712,308.000,178,102,Y
0.9.4,storm-core/src/jvm/backtype/storm/generated/NimbusSummary.java,796,0,0,0,0,0.000,0,0,0.000,0,7,N
0.9.4,storm-core/src/jvm/backtype/storm/generated/NodeInfo.java,2780,3,2,19,17,6.333,0,0,0.000,55,9,N
0.9.4,storm-core/src/jvm/backtype/storm/generated/NotAliveException.java,556,2,1,2,1,1.000,0,0,0.000,39,102,Y
0.9.4,storm-core/src/jvm/backtype/storm/generated/NullStruct.java,532,2,1,2,1,1.000,0,0,0.000,39,102,Y
0.9.4,storm-core/src/jvm/backtype/storm/generated/NumErrorsChoice.java,456,0,0,0,0,0.000,0,0,0.000,0,10,Y
0.9.4,storm-core/src/jvm/backtype/storm/generated/RebalanceOptions.java,852,3,2,25,23,8.333,0,0,0.000,55,102,Y
0.9.4,storm-core/src/jvm/backtype/storm/generated/ShellComponent.java,724,2,1,2,1,1.000,0,0,0.000,39,102,Y
0.9.4,storm-core/src/jvm/backtype/storm/generated/SpecificAggregateStats.java,387,1,1,387,387,387.000,387,387,387.000,24,-6,N
0.9.4,storm-core/src/jvm/backtype/storm/generated/SpoutAggregateStats.java,407,2,1,412,407,206.000,407,407,203.500,24,-6,N
0.9.4,storm-core/src/jvm/backtype/storm/generated/SpoutSpec.java,628,2,1,2,1,1.000,0,0,0.000,39,102,Y
0.9.4,storm-core/src/jvm/backtype/storm/generated/SpoutStats.java,1220,2,1,2,1,1.000,0,0,0.000,39,102,Y
0.9.4,storm-core/src/jvm/backtype/storm/generated/StateSpoutSpec.java,628,2,1,2,1,1.000,0,0,0.000,39,102,Y
0.9.4,storm-core/src/jvm/backtype/storm/generated/StormBase.java,6055,3,2,25,23,8.333,0,0,0.000,55,9,N
0.9.4,storm-core/src/jvm/backtype/storm/generated/StormTopology.java,1076,2,1,2,1,1.000,0,0,0.000,39,102,Y
0.9.4,storm-core/src/jvm/backtype/storm/generated/StreamInfo.java,668,2,1,2,1,1.000,0,0,0.000,39,102,Y
0.9.4,storm-core/src/jvm/backtype/storm/generated/SubmitOptions.java,1684,2,1,2,1,1.000,0,0,0.000,39,102,Y
0.9.4,storm-core/src/jvm/backtype/storm/generated/SupervisorInfo.java,6546,8,5,722,111,90.250,636,106,79.500,178,9,Y
0.9.4,storm-core/src/jvm/backtype/storm/generated/SupervisorSummary.java,1330,7,4,715,115,102.143,678,113,96.857,167,102,Y
0.9.4,storm-core/src/jvm/backtype/storm/generated/ThriftSerializedObject.java,3096,6,3,3096,516,516.000,3096,516,516.000,133,0,Y
0.9.4,storm-core/src/jvm/backtype/storm/generated/TopologyActionOptions.java,1935,0,0,0,0,0.000,0,0,0.000,0,9,N
0.9.4,storm-core/src/jvm/backtype/storm/generated/TopologyInfo.java,3497,2,1,2,1,1.000,0,0,0.000,39,102,Y
0.9.4,storm-core/src/jvm/backtype/storm/generated/TopologyInitialStatus.java,76,0,0,0,0,0.000,0,0,0.000,0,102,Y
0.9.4,storm-core/src/jvm/backtype/storm/generated/TopologyPageInfo.java,1793,2,1,1842,1793,921.000,1793,1793,896.500,24,-6,N
0.9.4,storm-core/src/jvm/backtype/storm/generated/TopologyStats.java,1094,2,1,1115,1094,557.500,1094,1094,547.000,24,-6,N
0.9.4,storm-core/src/jvm/backtype/storm/generated/TopologyStatus.java,340,0,0,0,0,0.000,0,0,0.000,0,9,N
0.9.4,storm-core/src/jvm/backtype/storm/generated/TopologySummary.java,2999,6,4,6,1,1.000,0,0,0.000,167,102,Y
0.9.4,storm-core/src/jvm/backtype/storm/generated/ZKWorkerHeartbeat.java,673,0,0,0,0,0.000,0,0,0.000,0,9,N
0.9.4,storm-core/src/jvm/backtype/storm/grouping/CustomStreamGrouping.java,68,0,0,0,0,0.000,0,0,0.000,0,102,N
0.9.4,storm-core/src/jvm/backtype/storm/grouping/PartialKeyGrouping.java,485,0,0,0,0,0.000,0,0,0.000,0,10,N
0.9.4,storm-core/src/jvm/backtype/storm/hooks/BaseTaskHook.java,68,0,0,0,0,0.000,0,0,0.000,0,102,N
0.9.4,storm-core/src/jvm/backtype/storm/hooks/ITaskHook.java,68,0,0,0,0,0.000,0,0,0.000,0,102,N
0.9.4,storm-core/src/jvm/backtype/storm/hooks/info/BoltAckInfo.java,68,0,0,0,0,0.000,0,0,0.000,0,102,N
0.9.4,storm-core/src/jvm/backtype/storm/hooks/info/BoltExecuteInfo.java,68,0,0,0,0,0.000,0,0,0.000,0,102,N
0.9.4,storm-core/src/jvm/backtype/storm/hooks/info/BoltFailInfo.java,68,0,0,0,0,0.000,0,0,0.000,0,102,N
0.9.4,storm-core/src/jvm/backtype/storm/hooks/info/EmitInfo.java,68,0,0,0,0,0.000,0,0,0.000,0,102,N
0.9.4,storm-core/src/jvm/backtype/storm/hooks/info/SpoutAckInfo.java,68,0,0,0,0,0.000,0,0,0.000,0,102,N
0.9.4,storm-core/src/jvm/backtype/storm/hooks/info/SpoutFailInfo.java,68,0,0,0,0,0.000,0,0,0.000,0,102,N
0.9.4,storm-core/src/jvm/backtype/storm/messaging/ConnectionWithStatus.java,241,1,1,17,17,17.000,17,17,17.000,18,7,Y
0.9.4,storm-core/src/jvm/backtype/storm/messaging/IConnection.java,177,0,0,0,0,0.000,0,0,0.000,0,102,N
0.9.4,storm-core/src/jvm/backtype/storm/messaging/IContext.java,110,0,0,0,0,0.000,0,0,0.000,0,102,N
0.9.4,storm-core/src/jvm/backtype/storm/messaging/TaskMessage.java,104,0,0,0,0,0.000,0,0,0.000,0,102,N
0.9.4,storm-core/src/jvm/backtype/storm/messaging/TransportFactory.java,108,0,0,0,0,0.000,0,0,0.000,0,102,N
0.9.4,storm-core/src/jvm/backtype/storm/messaging/netty/Client.java,3425,3,3,6,2,2.000,0,0,0.000,119,100,Y
0.9.4,storm-core/src/jvm/backtype/storm/messaging/netty/Context.java,581,0,0,0,0,0.000,0,0,0.000,0,100,N
0.9.4,storm-core/src/jvm/backtype/storm/messaging/netty/ControlMessage.java,69,0,0,0,0,0.000,0,0,0.000,0,69,Y
0.9.4,storm-core/src/jvm/backtype/storm/messaging/netty/MessageDecoder.java,604,0,0,0,0,0.000,0,0,0.000,0,69,Y
0.9.4,storm-core/src/jvm/backtype/storm/messaging/netty/MessageEncoder.java,100,0,0,0,0,0.000,0,0,0.000,0,69,Y
0.9.4,storm-core/src/jvm/backtype/storm/messaging/netty/NettyRenameThreadFactory.java,382,0,0,0,0,0.000,0,0,0.000,0,47,N
0.9.4,storm-core/src/jvm/backtype/storm/messaging/netty/SaslMessageToken.java,1089,0,0,0,0,0.000,0,0,0.000,0,36,Y
0.9.4,storm-core/src/jvm/backtype/storm/messaging/netty/SaslNettyClient.java,1826,0,0,0,0,0.000,0,0,0.000,0,36,Y
0.9.4,storm-core/src/jvm/backtype/storm/messaging/netty/SaslNettyClientState.java,341,0,0,0,0,0.000,0,0,0.000,0,36,Y
0.9.4,storm-core/src/jvm/backtype/storm/messaging/netty/SaslNettyServer.java,1815,0,0,0,0,0.000,0,0,0.000,0,36,Y
0.9.4,storm-core/src/jvm/backtype/storm/messaging/netty/SaslNettyServerState.java,341,0,0,0,0,0.000,0,0,0.000,0,36,Y
0.9.4,storm-core/src/jvm/backtype/storm/messaging/netty/SaslStormClientHandler.java,1731,0,0,0,0,0.000,0,0,0.000,0,36,Y
0.9.4,storm-core/src/jvm/backtype/storm/messaging/netty/SaslStormServerAuthorizeHandler.java,913,0,0,0,0,0.000,0,0,0.000,0,36,Y
0.9.4,storm-core/src/jvm/backtype/storm/messaging/netty/SaslStormServerHandler.java,1705,0,0,0,0,0.000,0,0,0.000,0,36,Y
0.9.4,storm-core/src/jvm/backtype/storm/messaging/netty/SaslUtils.java,814,0,0,0,0,0.000,0,0,0.000,0,36,Y
0.9.4,storm-core/src/jvm/backtype/storm/messaging/netty/Server.java,1828,0,0,0,0,0.000,0,0,0.000,0,100,Y
0.9.4,storm-core/src/jvm/backtype/storm/messaging/netty/StormClientErrorHandler.java,287,0,0,0,0,0.000,0,0,0.000,0,46,N
0.9.4,storm-core/src/jvm/backtype/storm/messaging/netty/StormClientPipelineFactory.java,170,0,0,0,0,0.000,0,0,0.000,0,100,Y
0.9.4,storm-core/src/jvm/backtype/storm/messaging/netty/StormServerHandler.java,35,0,0,0,0,0.000,0,0,0.000,0,100,Y
0.9.4,storm-core/src/jvm/backtype/storm/messaging/netty/StormServerPipelineFactory.java,165,0,0,0,0,0.000,0,0,0.000,0,100,Y
0.9.4,storm-core/src/jvm/backtype/storm/messaging/netty/TaskMessageDecoder.java,59,0,0,0,0,0.000,0,0,0.000,0,100,N
0.9.4,storm-core/src/jvm/backtype/storm/messaging/netty/TaskMessageEncoder.java,72,0,0,0,0,0.000,0,0,0.000,0,100,N
0.9.4,storm-core/src/jvm/backtype/storm/messaging/netty/Util.java,13,0,0,0,0,0.000,0,0,0.000,0,100,N
0.9.4,storm-core/src/jvm/backtype/storm/metric/LoggingMetricsConsumer.java,178,0,0,0,0,0.000,0,0,0.000,0,89,N
0.9.4,storm-core/src/jvm/backtype/storm/metric/MetricsConsumerBolt.java,68,0,0,0,0,0.000,0,0,0.000,0,102,N
0.9.4,storm-core/src/jvm/backtype/storm/metric/SystemBolt.java,204,0,0,0,0,0.000,0,0,0.000,0,102,N
0.9.4,storm-core/src/jvm/backtype/storm/metric/api/AssignableMetric.java,68,0,0,0,0,0.000,0,0,0.000,0,102,N
0.9.4,storm-core/src/jvm/backtype/storm/metric/api/CombinedMetric.java,68,0,0,0,0,0.000,0,0,0.000,0,102,N
0.9.4,storm-core/src/jvm/backtype/storm/metric/api/CountMetric.java,68,0,0,0,0,0.000,0,0,0.000,0,102,N
0.9.4,storm-core/src/jvm/backtype/storm/metric/api/ICombiner.java,68,0,0,0,0,0.000,0,0,0.000,0,102,N
0.9.4,storm-core/src/jvm/backtype/storm/metric/api/IMetric.java,68,0,0,0,0,0.000,0,0,0.000,0,102,N
0.9.4,storm-core/src/jvm/backtype/storm/metric/api/IMetricsConsumer.java,68,0,0,0,0,0.000,0,0,0.000,0,102,N
0.9.4,storm-core/src/jvm/backtype/storm/metric/api/IReducer.java,68,0,0,0,0,0.000,0,0,0.000,0,102,N
0.9.4,storm-core/src/jvm/backtype/storm/metric/api/IStatefulObject.java,78,0,0,0,0,0.000,0,0,0.000,0,89,N
0.9.4,storm-core/src/jvm/backtype/storm/metric/api/MeanReducer.java,68,0,0,0,0,0.000,0,0,0.000,0,102,N
0.9.4,storm-core/src/jvm/backtype/storm/metric/api/MultiCountMetric.java,68,0,0,0,0,0.000,0,0,0.000,0,102,N
0.9.4,storm-core/src/jvm/backtype/storm/metric/api/MultiReducedMetric.java,68,0,0,0,0,0.000,0,0,0.000,0,102,N
0.9.4,storm-core/src/jvm/backtype/storm/metric/api/ReducedMetric.java,68,0,0,0,0,0.000,0,0,0.000,0,102,N
0.9.4,storm-core/src/jvm/backtype/storm/metric/api/StateMetric.java,96,0,0,0,0,0.000,0,0,0.000,0,89,N
0.9.4,storm-core/src/jvm/backtype/storm/metric/api/rpc/AssignableShellMetric.java,330,0,0,0,0,0.000,0,0,0.000,0,56,N
0.9.4,storm-core/src/jvm/backtype/storm/metric/api/rpc/CombinedShellMetric.java,341,0,0,0,0,0.000,0,0,0.000,0,56,N
0.9.4,storm-core/src/jvm/backtype/storm/metric/api/rpc/CountShellMetric.java,418,0,0,0,0,0.000,0,0,0.000,0,56,N
0.9.4,storm-core/src/jvm/backtype/storm/metric/api/rpc/IShellMetric.java,341,0,0,0,0,0.000,0,0,0.000,0,56,N
0.9.4,storm-core/src/jvm/backtype/storm/metric/api/rpc/ReducedShellMetric.java,352,0,0,0,0,0.000,0,0,0.000,0,56,N
0.9.4,storm-core/src/jvm/backtype/storm/multilang/BoltMsg.java,480,0,0,0,0,0.000,0,0,0.000,0,78,N
0.9.4,storm-core/src/jvm/backtype/storm/multilang/ISerializer.java,468,0,0,0,0,0.000,0,0,0.000,0,79,N
0.9.4,storm-core/src/jvm/backtype/storm/multilang/JsonSerializer.java,1106,0,0,0,0,0.000,0,0,0.000,0,79,N
0.9.4,storm-core/src/jvm/backtype/storm/multilang/NoOutputException.java,228,0,0,0,0,0.000,0,0,0.000,0,79,N
0.9.4,storm-core/src/jvm/backtype/storm/multilang/ShellMsg.java,1244,0,0,0,0,0.000,0,0,0.000,0,78,N
0.9.4,storm-core/src/jvm/backtype/storm/multilang/ShellProcess.java,101,0,0,0,0,0.000,0,0,0.000,0,79,N
0.9.4,storm-core/src/jvm/backtype/storm/multilang/ShellSpout.java,115,0,0,0,0,0.000,0,0,0.000,0,79,N
0.9.4,storm-core/src/jvm/backtype/storm/multilang/SpoutMsg.java,278,0,0,0,0,0.000,0,0,0.000,0,79,N
0.9.4,storm-core/src/jvm/backtype/storm/nimbus/DefaultTopologyValidator.java,74,0,0,0,0,0.000,0,0,0.000,0,102,N
0.9.4,storm-core/src/jvm/backtype/storm/nimbus/ICodeDistributor.java,57,0,0,0,0,0.000,0,0,0.000,0,28,N
0.9.4,storm-core/src/jvm/backtype/storm/nimbus/ILeaderElector.java,60,0,0,0,0,0.000,0,0,0.000,0,29,N
0.9.4,storm-core/src/jvm/backtype/storm/nimbus/ITopologyValidator.java,70,0,0,0,0,0.000,0,0,0.000,0,102,N
0.9.4,storm-core/src/jvm/backtype/storm/nimbus/LocalFileSystemCodeDistributor.java,106,0,0,0,0,0.000,0,0,0.000,0,15,N
0.9.4,storm-core/src/jvm/backtype/storm/nimbus/NimbusInfo.java,93,0,0,0,0,0.000,0,0,0.000,0,23,N
0.9.4,storm-core/src/jvm/backtype/storm/planner/CompoundSpout.java,68,0,0,0,0,0.000,0,0,0.000,0,102,N
0.9.4,storm-core/src/jvm/backtype/storm/planner/CompoundTask.java,68,0,0,0,0,0.000,0,0,0.000,0,102,N
0.9.4,storm-core/src/jvm/backtype/storm/planner/TaskBundle.java,68,0,0,0,0,0.000,0,0,0.000,0,102,N
0.9.4,storm-core/src/jvm/backtype/storm/scheduler/Cluster.java,172,0,0,0,0,0.000,0,0,0.000,0,102,Y
0.9.4,storm-core/src/jvm/backtype/storm/scheduler/ExecutorDetails.java,68,0,0,0,0,0.000,0,0,0.000,0,102,N
0.9.4,storm-core/src/jvm/backtype/storm/scheduler/INimbus.java,68,0,0,0,0,0.000,0,0,0.000,0,102,N
0.9.4,storm-core/src/jvm/backtype/storm/scheduler/IScheduler.java,68,0,0,0,0,0.000,0,0,0.000,0,102,N
0.9.4,storm-core/src/jvm/backtype/storm/scheduler/ISupervisor.java,68,0,0,0,0,0.000,0,0,0.000,0,102,N
0.9.4,storm-core/src/jvm/backtype/storm/scheduler/SchedulerAssignment.java,68,0,0,0,0,0.000,0,0,0.000,0,102,N
0.9.4,storm-core/src/jvm/backtype/storm/scheduler/SchedulerAssignmentImpl.java,68,0,0,0,0,0.000,0,0,0.000,0,102,N
0.9.4,storm-core/src/jvm/backtype/storm/scheduler/SupervisorDetails.java,68,0,0,0,0,0.000,0,0,0.000,0,102,N
0.9.4,storm-core/src/jvm/backtype/storm/scheduler/Topologies.java,68,0,0,0,0,0.000,0,0,0.000,0,102,N
0.9.4,storm-core/src/jvm/backtype/storm/scheduler/TopologyDetails.java,68,0,0,0,0,0.000,0,0,0.000,0,102,N
0.9.4,storm-core/src/jvm/backtype/storm/scheduler/WorkerSlot.java,68,0,0,0,0,0.000,0,0,0.000,0,102,N
0.9.4,storm-core/src/jvm/backtype/storm/scheduler/multitenant/DefaultPool.java,1533,0,0,0,0,0.000,0,0,0.000,0,45,Y
0.9.4,storm-core/src/jvm/backtype/storm/scheduler/multitenant/FreePool.java,875,0,0,0,0,0.000,0,0,0.000,0,45,Y
0.9.4,storm-core/src/jvm/backtype/storm/scheduler/multitenant/IsolatedPool.java,2422,0,0,0,0,0.000,0,0,0.000,0,45,Y
0.9.4,storm-core/src/jvm/backtype/storm/scheduler/multitenant/MultitenantScheduler.java,686,0,0,0,0,0.000,0,0,0.000,0,45,Y
0.9.4,storm-core/src/jvm/backtype/storm/scheduler/multitenant/Node.java,2411,0,0,0,0,0.000,0,0,0.000,0,45,Y
0.9.4,storm-core/src/jvm/backtype/storm/scheduler/multitenant/NodePool.java,2072,0,0,0,0,0.000,0,0,0.000,0,45,Y
0.9.4,storm-core/src/jvm/backtype/storm/security/INimbusCredentialPlugin.java,376,0,0,0,0,0.000,0,0,0.000,0,38,Y
0.9.4,storm-core/src/jvm/backtype/storm/security/auth/AuthUtils.java,1428,0,0,0,0,0.000,0,0,0.000,0,102,Y
0.9.4,storm-core/src/jvm/backtype/storm/security/auth/DefaultHttpCredentialsPlugin.java,676,0,0,0,0,0.000,0,0,0.000,0,45,Y
0.9.4,storm-core/src/jvm/backtype/storm/security/auth/DefaultPrincipalToLocal.java,301,0,0,0,0,0.000,0,0,0.000,0,45,Y
0.9.4,storm-core/src/jvm/backtype/storm/security/auth/IAuthorizer.java,68,0,0,0,0,0.000,0,0,0.000,0,102,N
0.9.4,storm-core/src/jvm/backtype/storm/security/auth/IAutoCredentials.java,385,0,0,0,0,0.000,0,0,0.000,0,45,Y
0.9.4,storm-core/src/jvm/backtype/storm/security/auth/ICredentialsRenewer.java,288,0,0,0,0,0.000,0,0,0.000,0,45,Y
0.9.4,storm-core/src/jvm/backtype/storm/security/auth/IGroupMappingServiceProvider.java,378,0,0,0,0,0.000,0,0,0.000,0,40,Y
0.9.4,storm-core/src/jvm/backtype/storm/security/auth/IHttpCredentialsPlugin.java,350,0,0,0,0,0.000,0,0,0.000,0,45,Y
0.9.4,storm-core/src/jvm/backtype/storm/security/auth/IPrincipalToLocal.java,287,0,0,0,0,0.000,0,0,0.000,0,45,Y
0.9.4,storm-core/src/jvm/backtype/storm/security/auth/ITransportPlugin.java,110,0,0,0,0,0.000,0,0,0.000,0,102,Y
0.9.4,storm-core/src/jvm/backtype/storm/security/auth/KerberosPrincipalToLocal.java,315,0,0,0,0,0.000,0,0,0.000,0,45,Y
0.9.4,storm-core/src/jvm/backtype/storm/security/auth/ReqContext.java,306,0,0,0,0,0.000,0,0,0.000,0,102,Y
0.9.4,storm-core/src/jvm/backtype/storm/security/auth/SaslTransportPlugin.java,167,4,3,44,11,11.000,20,5,5.000,120,102,Y
0.9.4,storm-core/src/jvm/backtype/storm/security/auth/ShellBasedGroupsMapping.java,752,0,0,0,0,0.000,0,0,0.000,0,36,Y
0.9.4,storm-core/src/jvm/backtype/storm/security/auth/ShellBasedUnixGroupsMapping.java,94,0,0,0,0,0.000,0,0,0.000,0,40,Y
0.9.4,storm-core/src/jvm/backtype/storm/security/auth/SimpleTransportPlugin.java,340,6,5,12,2,2.000,6,1,1.000,43,102,Y
0.9.4,storm-core/src/jvm/backtype/storm/security/auth/SingleUserPrincipal.java,392,0,0,0,0,0.000,0,0,0.000,0,45,Y
0.9.4,storm-core/src/jvm/backtype/storm/security/auth/TBackoffConnect.java,539,0,0,0,0,0.000,0,0,0.000,0,45,Y
0.9.4,storm-core/src/jvm/backtype/storm/security/auth/ThriftClient.java,355,0,0,0,0,0.000,0,0,0.000,0,102,Y
0.9.4,storm-core/src/jvm/backtype/storm/security/auth/ThriftConnectionType.java,539,0,0,0,0,0.000,0,0,0.000,0,45,Y
0.9.4,storm-core/src/jvm/backtype/storm/security/auth/ThriftServer.java,75,0,0,0,0,0.000,0,0,0.000,0,102,Y
0.9.4,storm-core/src/jvm/backtype/storm/security/auth/authorizer/DRPCAuthorizerBase.java,339,1,1,17,17,17.000,17,17,17.000,18,45,Y
0.9.4,storm-core/src/jvm/backtype/storm/security/auth/authorizer/DRPCSimpleACLAuthorizer.java,1117,1,1,18,18,18.000,18,18,18.000,18,45,Y
0.9.4,storm-core/src/jvm/backtype/storm/security/auth/authorizer/DenyAuthorizer.java,68,0,0,0,0,0.000,0,0,0.000,0,102,Y
0.9.4,storm-core/src/jvm/backtype/storm/security/auth/authorizer/ImpersonationAuthorizer.java,1095,1,1,17,17,17.000,17,17,17.000,18,5,N
0.9.4,storm-core/src/jvm/backtype/storm/security/auth/authorizer/NoopAuthorizer.java,68,0,0,0,0,0.000,0,0,0.000,0,102,Y
0.9.4,storm-core/src/jvm/backtype/storm/security/auth/authorizer/SimpleACLAuthorizer.java,1066,1,1,12,12,12.000,11,11,11.000,24,45,Y
0.9.4,storm-core/src/jvm/backtype/storm/security/auth/authorizer/SimpleWhitelistAuthorizer.java,490,0,0,0,0,0.000,0,0,0.000,0,45,Y
0.9.4,storm-core/src/jvm/backtype/storm/security/auth/digest/ClientCallbackHandler.java,68,0,0,0,0,0.000,0,0,0.000,0,102,N
0.9.4,storm-core/src/jvm/backtype/storm/security/auth/digest/DigestSaslTransportPlugin.java,75,0,0,0,0,0.000,0,0,0.000,0,102,Y
0.9.4,storm-core/src/jvm/backtype/storm/security/auth/digest/ServerCallbackHandler.java,187,0,0,0,0,0.000,0,0,0.000,0,102,N
0.9.4,storm-core/src/jvm/backtype/storm/security/auth/hadoop/AutoHDFS.java,8,0,0,0,0,0.000,0,0,0.000,0,38,Y
0.9.4,storm-core/src/jvm/backtype/storm/security/auth/kerberos/AutoHDFS.java,254,0,0,0,0,0.000,0,0,0.000,0,39,Y
0.9.4,storm-core/src/jvm/backtype/storm/security/auth/kerberos/AutoTGT.java,1995,0,0,0,0,0.000,0,0,0.000,0,45,Y
0.9.4,storm-core/src/jvm/backtype/storm/security/auth/kerberos/AutoTGTKrb5LoginModule.java,756,0,0,0,0,0.000,0,0,0.000,0,45,Y
0.9.4,storm-core/src/jvm/backtype/storm/security/auth/kerberos/AutoTGTKrb5LoginModuleTest.java,308,0,0,0,0,0.000,0,0,0.000,0,45,Y
0.9.4,storm-core/src/jvm/backtype/storm/security/auth/kerberos/ClientCallbackHandler.java,728,0,0,0,0,0.000,0,0,0.000,0,45,Y
0.9.4,storm-core/src/jvm/backtype/storm/security/auth/kerberos/KerberosSaslTransportPlugin.java,1463,0,0,0,0,0.000,0,0,0.000,0,45,Y
0.9.4,storm-core/src/jvm/backtype/storm/security/auth/kerberos/ServerCallbackHandler.java,658,0,0,0,0,0.000,0,0,0.000,0,45,Y
0.9.4,storm-core/src/jvm/backtype/storm/security/serialization/BlowfishTupleSerializer.java,68,0,0,0,0,0.000,0,0,0.000,0,102,Y
0.9.4,storm-core/src/jvm/backtype/storm/serialization/DefaultKryoFactory.java,68,0,0,0,0,0.000,0,0,0.000,0,102,N
0.9.4,storm-core/src/jvm/backtype/storm/serialization/DefaultSerializationDelegate.java,337,0,0,0,0,0.000,0,0,0.000,0,36,N
0.9.4,storm-core/src/jvm/backtype/storm/serialization/GzipBridgeSerializationDelegate.java,376,0,0,0,0,0.000,0,0,0.000,0,36,N
0.9.4,storm-core/src/jvm/backtype/storm/serialization/GzipBridgeThriftSerializationDelegate.java,384,7,3,386,65,55.143,384,65,54.857,133,0,Y
0.9.4,storm-core/src/jvm/backtype/storm/serialization/GzipSerializationDelegate.java,372,0,0,0,0,0.000,0,0,0.000,0,36,N
0.9.4,storm-core/src/jvm/backtype/storm/serialization/GzipThriftSerializationDelegate.java,342,6,3,342,57,57.000,342,57,57.000,133,0,Y
0.9.4,storm-core/src/jvm/backtype/storm/serialization/IKryoDecorator.java,68,0,0,0,0,0.000,0,0,0.000,0,102,N
0.9.4,storm-core/src/jvm/backtype/storm/serialization/IKryoFactory.java,68,0,0,0,0,0.000,0,0,0.000,0,102,N
0.9.4,storm-core/src/jvm/backtype/storm/serialization/ITupleDeserializer.java,68,0,0,0,0,0.000,0,0,0.000,0,102,N
0.9.4,storm-core/src/jvm/backtype/storm/serialization/ITupleSerializer.java,68,0,0,0,0,0.000,0,0,0.000,0,102,N
0.9.4,storm-core/src/jvm/backtype/storm/serialization/KryoTupleDeserializer.java,68,0,0,0,0,0.000,0,0,0.000,0,102,N
0.9.4,storm-core/src/jvm/backtype/storm/serialization/KryoTupleSerializer.java,68,0,0,0,0,0.000,0,0,0.000,0,102,N
0.9.4,storm-core/src/jvm/backtype/storm/serialization/KryoValuesDeserializer.java,68,0,0,0,0,0.000,0,0,0.000,0,102,N
0.9.4,storm-core/src/jvm/backtype/storm/serialization/KryoValuesSerializer.java,68,0,0,0,0,0.000,0,0,0.000,0,102,N
0.9.4,storm-core/src/jvm/backtype/storm/serialization/SerializableSerializer.java,68,0,0,0,0,0.000,0,0,0.000,0,102,N
0.9.4,storm-core/src/jvm/backtype/storm/serialization/SerializationDelegate.java,194,0,0,0,0,0.000,0,0,0.000,0,36,N
0.9.4,storm-core/src/jvm/backtype/storm/serialization/SerializationFactory.java,67,0,0,0,0,0.000,0,0,0.000,0,102,N
0.9.4,storm-core/src/jvm/backtype/storm/serialization/ThriftSerializationDelegate.java,260,0,0,0,0,0.000,0,0,0.000,0,9,N
0.9.4,storm-core/src/jvm/backtype/storm/serialization/types/ArrayListSerializer.java,68,0,0,0,0,0.000,0,0,0.000,0,102,N
0.9.4,storm-core/src/jvm/backtype/storm/serialization/types/HashMapSerializer.java,68,0,0,0,0,0.000,0,0,0.000,0,102,N
0.9.4,storm-core/src/jvm/backtype/storm/serialization/types/HashSetSerializer.java,68,0,0,0,0,0.000,0,0,0.000,0,102,N
0.9.4,storm-core/src/jvm/backtype/storm/serialization/types/ListDelegateSerializer.java,68,0,0,0,0,0.000,0,0,0.000,0,102,N
0.9.4,storm-core/src/jvm/backtype/storm/spout/IMultiSchemableSpout.java,68,0,0,0,0,0.000,0,0,0.000,0,102,N
0.9.4,storm-core/src/jvm/backtype/storm/spout/ISchemableSpout.java,68,0,0,0,0,0.000,0,0,0.000,0,102,N
0.9.4,storm-core/src/jvm/backtype/storm/spout/ISpout.java,68,0,0,0,0,0.000,0,0,0.000,0,102,N
0.9.4,storm-core/src/jvm/backtype/storm/spout/ISpoutOutputCollector.java,68,0,0,0,0,0.000,0,0,0.000,0,102,N
0.9.4,storm-core/src/jvm/backtype/storm/spout/ISpoutWaitStrategy.java,68,0,0,0,0,0.000,0,0,0.000,0,102,N
0.9.4,storm-core/src/jvm/backtype/storm/spout/MultiScheme.java,68,0,0,0,0,0.000,0,0,0.000,0,102,N
0.9.4,storm-core/src/jvm/backtype/storm/spout/NothingEmptyEmitStrategy.java,68,0,0,0,0,0.000,0,0,0.000,0,102,N
0.9.4,storm-core/src/jvm/backtype/storm/spout/RawMultiScheme.java,68,0,0,0,0,0.000,0,0,0.000,0,102,N
0.9.4,storm-core/src/jvm/backtype/storm/spout/RawScheme.java,68,0,0,0,0,0.000,0,0,0.000,0,102,N
0.9.4,storm-core/src/jvm/backtype/storm/spout/Scheme.java,68,0,0,0,0,0.000,0,0,0.000,0,102,N
0.9.4,storm-core/src/jvm/backtype/storm/spout/SchemeAsMultiScheme.java,68,0,0,0,0,0.000,0,0,0.000,0,102,N
